date,forecasted_articles
2024-11-15,-0.0018304673
2024-11-16,-0.0018844714
2024-11-17,-0.005052258
2024-11-18,-0.0036929795
2024-11-19,-0.0016742566
2024-11-20,-0.0030127056
2024-11-21,-0.0019311808
2024-11-22,-0.00023007148
2024-11-23,-0.00023007148
2024-11-24,-0.00023007148
